"Dish Name,States (Commonly Found In),Area Type (Rural/Urban/Both),Diet Type,Income Range (Commonly Consumed By)"
"Orange milkshake (Narangi milkshake),Maharashtra;Gujarat;Delhi;Tamil Nadu;Karnataka,urban,Vegetarian,3-6L"
"Egg nog,Delhi;Mumbai;Goa;Kolkata;Pune,urban,Eggitarian,3-6L;>6L"
"Sweet Lassi (Meethi lassi),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Lassi (salted),Punjab;Haryana;Uttar Pradesh;Rajasthan;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Cheese and chilli sandwich ,Delhi;Mumbai;Bengaluru;Hyderabad;Chandigarh,urban,Vegetarian,3-6L;>6L"
"Egg sandwich (Ande ka sandwich),Delhi;Kolkata;Hyderabad;Mumbai;Pune,urban,Eggitarian,3-6L;>6L"
"Cucumber sandwich (Kheere ka sandwich),Delhi;Mumbai;Bengaluru;Kolkata;Pune,urban,Vegetarian,3-6L;>6L"
"Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Delhi;Mumbai;Goa;Pune;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chicken sandwich,Punjab;Delhi;Mumbai;Hyderabad;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Maharashtra;Madhya Pradesh;Gujarat;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Rainbow sandwich,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Club sandwich ,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Non-Vegetarian,3-6L;>6L"
"Vegetarian club sandwich,Delhi;Mumbai;Bengaluru;Hyderabad;Chandigarh,urban,Vegetarian,3-6L;>6L"
"Pin wheel sandwich,Delhi;Mumbai;Bengaluru;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Carrot apple sandwich (Gajar aur seb ka sandwich),Maharashtra;Delhi;Karnataka;Tamil Nadu;Gujarat,urban,Vegetarian,3-6L"
"Salami sandwich,Delhi;Mumbai;Goa;Hyderabad;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Vegetable and mayonnaise sandwich,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Egg and tomato sandwich (Ande aur tamatar ka sandwich),Delhi;Kolkata;Hyderabad;Pune;Chennai,urban,Eggitarian,3-6L;>6L"
"Sweet open sandwich,Delhi;Mumbai;Pune;Kolkata;Bengaluru,urban,Vegetarian,3-6L"
"Mushroom and cheese sandwich (toasted),Delhi;Mumbai;Bengaluru;Pune;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),Delhi;Mumbai;Bengaluru;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Pea potato sandwich (toasted) (Matar aloo ka sandwich),Punjab;Delhi;Uttar Pradesh;Haryana;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Paneer pea sandwich (toasted) (Paneer matar ka sandwich),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Chicken sandwich (toasted),Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Pea keema sandwich (toasted) (Matar aur keema ka sandwich),Punjab;Delhi;Haryana;Uttar Pradesh;Maharashtra,both,Non-Vegetarian,3-6L"
"Classic club sandwich,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Non-Vegetarian,3-6L;>6L"
"Sesame toast,Delhi;Mumbai;Kolkata;Hyderabad;Bengaluru,urban,Vegetarian,3-6L"
"Cracked wheat porridge (Meetha daliya),Rajasthan;Madhya Pradesh;Uttar Pradesh;Haryana;Punjab,rural,Vegetarian,<1L;1-3L"
"Semolina porridge (Suji/Rava daliya),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Oatmeal Porridge,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Cornflakes with milk,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Rice flakes (Chiwda/Aval),Maharashtra;Tamil Nadu;Andhra Pradesh;Karnataka;Odisha,both,Vegetarian,1-3L;3-6L"
"Wheat flakes,Delhi;Mumbai;Kolkata;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Murmura (Puffed rice),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Puffed wheat (Murmure/Moori),All Indian States and UTs,both,Vegetarian,<1L;1-3L"
"Boiled egg (Ubla anda),All Indian States and UTs,both,Eggitarian,1-3L;3-6L"
"Fried Egg ,All Indian States and UTs,both,Eggitarian,1-3L;3-6L;>6L"
"Poached egg,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Eggitarian,3-6L;>6L"
"Scrambled egg (Ande ki bhurji),Maharashtra;Delhi;Hyderabad;Karnataka;Uttar Pradesh,both,Eggitarian,1-3L;3-6L"
"Baked egg ,Delhi;Mumbai;Pune;Goa;Kolkata,urban,Eggitarian,3-6L;>6L"
"Plain omelette/omlet,All Indian States and UTs,both,Eggitarian,1-3L;3-6L"
"Stuffed egg omelette/omlet,Delhi;Mumbai;Hyderabad;Kolkata;Pune,both,Eggitarian,3-6L"
"Pancake,Delhi;Mumbai;Bengaluru;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Keema pancake,Delhi;Mumbai;Hyderabad;Lucknow;Kolkata,urban,Non-Vegetarian,3-6L"
"Vegetable pancake,Delhi;Mumbai;Bengaluru;Kolkata;Hyderabad,urban,Vegetarian,3-6L"
"Jam and fruit pancake,Delhi;Mumbai;Pune;Kolkata;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Khoa and coconut pancake,Maharashtra;Goa;Tamil Nadu;Karnataka;Kerala,both,Vegetarian,1-3L;3-6L"
"Brown stock,Delhi;Mumbai;Hyderabad;Kolkata;Chennai,urban,Non-Vegetarian,3-6L;>6L"
"Vegetable stock,Delhi;Mumbai;Bengaluru;Kolkata;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Chicken stock,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Non-Vegetarian,3-6L;>6L"
"Clear tomato soup (Tamatar ka soup),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Lentil soup,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Chicken consomme (Clear chicken soup),Delhi;Mumbai;Hyderabad;Kolkata;Chennai,urban,Non-Vegetarian,3-6L;>6L"
"Cream of tomato soup,All Indian States and UTs,both,Vegetarian,3-6L;>6L"
"Cream of green peas soup,Delhi;Mumbai;Pune;Hyderabad;Bengaluru,urban,Vegetarian,3-6L"
"Cream of spinach soup,Delhi;Mumbai;Bengaluru;Kolkata;Pune,urban,Vegetarian,3-6L;>6L"
"Cream of mixed vegetable soup,Delhi;Mumbai;Hyderabad;Pune;Bengaluru,urban,Vegetarian,3-6L"
"Cream of mushroom soup,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chicken sweet corn soup,All Indian States and UTs,urban,Non-Vegetarian,3-6L;>6L"
"Minestrone soup,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Egg drop soup,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Eggitarian,3-6L;>6L"
"Chinese cabbage and meat ball soup,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Non-Vegetarian,3-6L;>6L"
"French onion soup,Delhi;Mumbai;Pune;Kolkata;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Hot and sour soup,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Talaumein soup,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Vegetarian,3-6L;>6L"
"Cold cucumber soup (Thanda kheere ka soup),Delhi;Mumbai;Bengaluru;Kolkata;Hyderabad,urban,Vegetarian,3-6L"
"Cold summer garden soup,Delhi;Mumbai;Bengaluru;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chapati/Roti,All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L;>6L"
"Plain parantha/paratha,All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Potato parantha/paratha (Aloo ka parantha/paratha),Punjab;Haryana;Uttar Pradesh;Delhi;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Radish parantha/paratha (Mooli ka parantha/paratha),Punjab;Haryana;Uttar Pradesh;Delhi;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),Punjab;Haryana;Uttar Pradesh;Delhi;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Dal parantha/paratha,Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Sprouted moong parantha/paratha,Maharashtra;Gujarat;Delhi;Haryana;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Pea parantha/paratha (Matar ka parantha/paratha),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Keema parantha/paratha,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Non-Vegetarian,3-6L"
"Paneer parantha/paratha,Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),Maharashtra;Gujarat;Delhi;Haryana;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Poori,All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Spinach poori (Palak poori),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Methi poori,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Dal stuffed poori,Uttar Pradesh;Rajasthan;Madhya Pradesh;Haryana;Punjab,both,Vegetarian,1-3L;3-6L"
"Potato stuffed poori (Aloo ki poori),Uttar Pradesh;Rajasthan;Haryana;Delhi;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Tandoori parantha/paratha,Punjab;Delhi;Haryana;Uttar Pradesh;Chandigarh,urban,Vegetarian,3-6L;>6L"
"Boiled rice (Uble chawal),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L;>6L"
"Plain pulao,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Mixed vegetable pulao,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Mushroom pulao,Delhi;Mumbai;Karnataka;Kerala;Tamil Nadu,urban,Vegetarian,3-6L;>6L"
"Sprouted moong pulao,Maharashtra;Gujarat;Delhi;Rajasthan;Haryana,both,Vegetarian,1-3L;3-6L"
"Paneer pulao,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Peanut pulao,Maharashtra;Gujarat;Madhya Pradesh;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Navratan pulao,Delhi;Mumbai;Kolkata;Hyderabad;Jaipur,urban,Vegetarian,3-6L;>6L"
"Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Haryana;Punjab;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Mutton biryani/biriyani,Hyderabad;Lucknow;Kolkata;Delhi;Chennai,both,Non-Vegetarian,3-6L;>6L"
"Vegetable biryani/biriyani,All Indian States and UTs,both,Vegetarian,1-3L;3-6L;>6L"
"Lemon rice (Pulihora, Elumichai sadam, Chitranna),Andhra Pradesh;Telangana;Tamil Nadu;Karnataka;Kerala,both,Vegetarian,1-3L;3-6L"
"Sweet rice (Meethe chawal),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Curd rice (Dahi bhaat/Dahi chawal/Perugu annam/Daddojanam/Thayir saadam),Tamil Nadu;Andhra Pradesh;Telangana;Karnataka;Kerala,both,Vegetarian,1-3L;3-6L"
"Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),Andhra Pradesh;Telangana;Tamil Nadu;Karnataka;Kerala,both,Vegetarian,1-3L;3-6L"
"Spanish rice,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Chinese fried rice,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Macroni cheese pie,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Vegetable chowmein,All Indian States and UTs,urban,Vegetarian,1-3L;3-6L;>6L"
"Chicken chowmein,All Indian States and UTs,urban,Non-Vegetarian,3-6L;>6L"
"Cheese noodle ring,Delhi;Mumbai;Pune;Bengaluru;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Spaghetti and cheese balls in tomato sauce,Delhi;Mumbai;Pune;Bengaluru;Kolkata,urban,Vegetarian,3-6L;>6L"
"Penne platter,Delhi;Mumbai;Hyderabad;Pune;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Pasta hot pot,Delhi;Mumbai;Pune;Bengaluru;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Chicken lasagne,Delhi;Mumbai;Bengaluru;Pune;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Fettuccine with spinach sauce,Delhi;Mumbai;Pune;Bengaluru;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Naan,All Indian States and UTs,both,Vegetarian,1-3L;3-6L;>6L"
"Bhatura,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Idli,Tamil Nadu;Karnataka;Andhra Pradesh;Kerala;Telangana,both,Vegetarian,<1L;1-3L;3-6L"
"Masala dosa,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Semolina dosa (Suji/Rava dosa),Tamil Nadu;Karnataka;Andhra Pradesh;Kerala;Telangana,both,Vegetarian,1-3L;3-6L"
"Onion tomato uttapam,Tamil Nadu;Karnataka;Andhra Pradesh;Kerala;Telangana,both,Vegetarian,1-3L;3-6L"
"Paneer kaathi roll,Delhi;Kolkata;Mumbai;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Makki ki roti,Punjab;Haryana;Uttar Pradesh;Delhi;Rajasthan,rural,Vegetarian,1-3L;3-6L"
"Washed moong dal (Dhuli moong ki dal),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Washed urad dal (Dhuli urad ki dal),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),Uttar Pradesh;Rajasthan;Madhya Pradesh;Haryana;Delhi,both,Vegetarian,1-3L;3-6L"
"Dry washed urad,All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Mixed dal,All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Whole moong (Moong ki dal),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Whole masoor (Masoor ki dal),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Whole moth (Moth ki dal),Rajasthan;Haryana;Punjab;Delhi;Uttar Pradesh,rural,Vegetarian,1-3L;3-6L"
"Whole urad (Urad ki dal),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Moti mahal dal (Urad rajmah mix dal),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,urban,Vegetarian,3-6L;>6L"
"Black channa curry/Bengal gram curry (Kale chane ki curry),Punjab;Haryana;Delhi;Rajasthan;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Chickpeas curry (Safed channa curry),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Lobia curry,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Soyabean curry,Madhya Pradesh;Maharashtra;Uttar Pradesh;Delhi;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Kidney bean curry (Rajmah curry),Punjab;Delhi;Haryana;Himachal Pradesh;Uttarakhand,both,Vegetarian,1-3L;3-6L"
"Sambar,Tamil Nadu;Karnataka;Andhra Pradesh;Kerala;Telangana,both,Vegetarian,1-3L;3-6L"
"Besan kadhi with pakodies,Rajasthan;Punjab;Haryana;Uttar Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Khatta channa,Rajasthan;Haryana;Delhi;Uttar Pradesh;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Sprouted moong dal chat,Delhi;Maharashtra;Gujarat;Rajasthan;Uttar Pradesh,urban,Vegetarian,1-3L;3-6L"
"Potato cauliflower (Aloo gobhi),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Potato capsicum (Shimla mirch aloo),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Cabbage and peas (Pattagobhi aur matar),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Carrot and fenugreek leaves (Gajar methi),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Potato fenugreek (Aloo methi),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Brinjal bhartha (Baingan ka bhartha),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Dry potato (Sookhe aloo),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Beans with coconut (Nariyal aur sem/phali; Beans thoran),Kerala;Tamil Nadu;Karnataka;Andhra Pradesh;Goa,both,Vegetarian,1-3L;3-6L"
"Cauliflower with coconut (Nariyal ke saath phoolgobhi),Kerala;Tamil Nadu;Karnataka;Goa;Maharashtra,both,Vegetarian,1-3L;3-6L"
"Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),Kerala;Karnataka;Tamil Nadu;Andhra Pradesh;Goa,both,Vegetarian,1-3L;3-6L"
"Raw turnip with coconut,Kerala;Tamil Nadu;Karnataka;Andhra Pradesh;Goa,both,Vegetarian,1-3L;3-6L"
"Raw papaya with coconut (Papaya thoran),Kerala;Karnataka;Tamil Nadu;Andhra Pradesh;Goa,both,Vegetarian,1-3L;3-6L"
"Stuffed okra (Bharwa bhindi),Punjab;Haryana;Uttar Pradesh;Delhi;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Stuffed round gourd (Bharwa tinde),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Stuffed capsicum (Bharwa shimla mirch),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Stuffed brinjal (Bharwa baingan),Maharashtra;Madhya Pradesh;Uttar Pradesh;Rajasthan;Delhi,both,Vegetarian,1-3L;3-6L"
"Stuffed tomatoes (Bharwa tamatar),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Pea potato curry (Aloo matar),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Pea paneer curry (Matar paneer),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Pea mushroom curry (Matar mushroom),Delhi;Mumbai;Punjab;Haryana;Uttar Pradesh,both,Vegetarian,3-6L;>6L"
"Pea curry (Matar ki sabzi),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Pea vadi curry,Rajasthan;Haryana;Delhi;Punjab;Uttar Pradesh,rural,Vegetarian,1-3L;3-6L"
"Paneer curry,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Lotus stem curry (Kamal kakdi curry),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Gravy for kofta,Delhi;Mumbai;Kolkata;Hyderabad;Jaipur,urban,Vegetarian,3-6L"
"Pea kofta curry (Matar kofta curry),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Spinach kofta curry (Palak kofta curry),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Paneer kofta curry,Delhi;Mumbai;Punjab;Haryana;Uttar Pradesh,both,Vegetarian,3-6L;>6L"
"Lotus stem kofta curry (Kamal kakdi kofta curry),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Raw banana kofta curry (Kela kofta curry),Maharashtra;Tamil Nadu;Kerala;Karnataka;Andhra Pradesh,both,Vegetarian,1-3L;3-6L"
"Cauliflower kofta curry (Phoolgobhi kofta curry),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Cabbage kofta curry (Pattagobhi kofta curry),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Ghiya/Lauki Kofta Curry,Delhi;Uttar Pradesh;Rajasthan;Haryana;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Spinach paneer kofta curry (Palak paneer kofta curry),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Vegetarian egg kofta curry,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Eggitarian,3-6L;>6L"
"Baked vegetables,Delhi;Mumbai;Pune;Bengaluru;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Cauliflower musallam (Phoolgobhi musallam),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Baked vegetables with spinach,Delhi;Mumbai;Pune;Bengaluru;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Baked potato with skin,Delhi;Mumbai;Bengaluru;Pune;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Shepherd's pie (vegetarian),Delhi;Mumbai;Pune;Bengaluru;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Baked brinjal in tomato sauce,Delhi;Mumbai;Pune;Hyderabad;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Dum aloo,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Spinach paneer (Palak paneer),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Methi chaman,Kashmir;Delhi;Punjab;Haryana;Uttar Pradesh,both,Vegetarian,3-6L;>6L"
"Sarson ka saag,Punjab;Haryana;Delhi;Uttar Pradesh;Himachal Pradesh,both,Vegetarian,1-3L;3-6L"
"Jackfruit sabzi (Kathal ki sabzi),Uttar Pradesh;Bihar;West Bengal;Jharkhand;Odisha,both,Vegetarian,1-3L;3-6L"
"Avial,Kerala;Tamil Nadu;Karnataka;Andhra Pradesh;Goa,both,Vegetarian,1-3L;3-6L"
"Al yakhani,Jammu and Kashmir;Ladakh,urban,Non-Vegetarian,3-6L;>6L"
"Shahi paneer,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Paneer in butter sauce,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Methi malai paneer,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Chilli paneer,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Paneer makhana korma,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Kadhai Paneer,All Indian States and UTs,both,Vegetarian,3-6L;>6L"
"Roghan josh,Jammu and Kashmir;Delhi;Punjab;Haryana;Uttar Pradesh,both,Non-Vegetarian,3-6L;>6L"
"Spinach mutton (Palak mutton),Delhi;Punjab;Haryana;Uttar Pradesh;Kashmir,both,Non-Vegetarian,3-6L;>6L"
"Pea keema curry (Matar keema ki sabzi),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Non-Vegetarian,3-6L"
"Keema kofta curry,Delhi;Lucknow;Hyderabad;Kolkata;Mumbai,both,Non-Vegetarian,3-6L;>6L"
"Kashmiri mutton koftas (Gushtaba),Jammu and Kashmir;Ladakh,urban,Non-Vegetarian,3-6L;>6L"
"Mutton yakhni,Jammu and Kashmir;Delhi;Punjab;Haryana;Uttar Pradesh,both,Non-Vegetarian,3-6L;>6L"
"Chicken yakhni,Jammu and Kashmir;Delhi;Punjab;Haryana;Uttar Pradesh,both,Non-Vegetarian,3-6L;>6L"
"Mutton do piaza,Delhi;Lucknow;Hyderabad;Kolkata;Mumbai,both,Non-Vegetarian,3-6L;>6L"
"Mutton chops,Delhi;Lucknow;Hyderabad;Kolkata;Mumbai,urban,Non-Vegetarian,3-6L;>6L"
"Shammi kebab,Lucknow;Delhi;Hyderabad;Kolkata;Bhopal,both,Non-Vegetarian,3-6L;>6L"
"Scotch egg,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Eggitarian,3-6L;>6L"
"Shepherd's pie (with minced meat),Delhi;Mumbai;Bengaluru;Hyderabad;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Chicken curry,All Indian States and UTs,both,Non-Vegetarian,1-3L;3-6L;>6L"
"Tandoori chicken,Punjab;Delhi;Haryana;Uttar Pradesh;Chandigarh,both,Non-Vegetarian,3-6L;>6L"
"Butter chicken,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Non-Vegetarian,3-6L;>6L"
